transaction_id,date,amount,description,company_name
CMLYF50U,Thu Mar 13 23:25:57 IST 2025,948.93,Transaction from BKC Mumbai branch,Apple India
XDHNRDOQ,Thu Mar 13 23:25:57 IST 2025,997.08,Transaction from BKC Mumbai branch,Apple India
KSE60VM7,Thu Mar 13 23:25:57 IST 2025,980.99,Transaction from BKC Mumbai branch,Apple India
JMZ88BFG,Thu Mar 13 23:25:57 IST 2025,342.11,Transaction from BKC Mumbai branch,Apple India
W1HII2NZ,Thu Mar 13 23:25:57 IST 2025,273.50,Transaction from BKC Mumbai branch,Apple India
GD2SR3C4,Thu Mar 13 23:25:57 IST 2025,158.24,Transaction from BKC Mumbai branch,Apple India
MP0WT263,Thu Mar 13 23:25:57 IST 2025,1.76,Transaction from BKC Mumbai branch,Apple India
HKQ2VEZH,Thu Mar 13 23:25:57 IST 2025,77.58,Transaction from BKC Mumbai branch,Apple India
IVTUMXGQ,Thu Mar 13 23:25:57 IST 2025,137.24,Transaction from BKC Mumbai branch,Apple India
VHOJFWQ7,Thu Mar 13 23:25:57 IST 2025,598.48,Transaction from BKC Mumbai branch,Apple India
GOTG2610,Thu Mar 13 23:25:57 IST 2025,119.00,Transaction from BKC Mumbai branch,Apple India
DFX74DSJ,Thu Mar 13 23:25:57 IST 2025,406.39,Transaction from BKC Mumbai branch,Apple India
C0BODUA6,Thu Mar 13 23:25:57 IST 2025,225.52,Transaction from BKC Mumbai branch,Apple India
8WT9AVE3,Thu Mar 13 23:25:57 IST 2025,497.64,Transaction from BKC Mumbai branch,Apple India
TSSCZW0B,Thu Mar 13 23:25:57 IST 2025,303.90,Transaction from BKC Mumbai branch,Apple India
8OGLMTCL,Thu Mar 13 23:25:57 IST 2025,34.42,Transaction from BKC Mumbai branch,Apple India
1BHBL4Q9,Thu Mar 13 23:25:57 IST 2025,730.02,Transaction from BKC Mumbai branch,Apple India
7834KGS7,Thu Mar 13 23:25:57 IST 2025,168.80,Transaction from BKC Mumbai branch,Apple India
PCUJWU1O,Thu Mar 13 23:25:57 IST 2025,382.72,Transaction from BKC Mumbai branch,Apple India
GB2VH5YH,Thu Mar 13 23:25:57 IST 2025,349.22,Transaction from BKC Mumbai branch,Apple India
